ds,yhat,yhat_lower,yhat_upper
2023-01-01,561.8125746156876,-311.8244951195872,1479.0162091311286
2023-01-02,562.1117459116812,-312.54792178624535,1464.458318669999
2023-01-04,724.6589791777275,-165.63990678430287,1696.8018653606025
2023-01-06,664.0642563752556,-231.78565740159925,1525.070187948086
2023-01-07,746.0801335822414,-165.22750651455988,1583.5145459541452
2023-01-08,563.011554394041,-327.9376634178022,1518.2637240494018
2023-01-09,563.3107256901559,-306.48753465207915,1469.217330560921
2023-01-10,673.6705731492665,-230.86232109980932,1573.6162680381274
2023-01-11,725.857958962178,-194.82586251263766,1615.7614638403868
2023-01-13,665.2632361713964,-212.69728767663753,1569.6190144316167
2023-01-15,564.2105342014472,-331.7183443269967,1470.7226500334878
2023-01-17,674.8695529685492,-199.26936466968138,1634.044570498664
2023-01-19,584.3881159113038,-272.1765498485344,1481.3393817378237
2023-01-20,666.4622159906792,-243.4341070332655,1608.332627927725
2023-01-23,565.7086853225208,-293.1170855490593,1429.8142628454389
2023-01-24,676.0685327878322,-165.40461456701772,1619.5052846920116
2023-01-26,585.5870954672762,-279.12242636386316,1502.4166284159473
2023-01-27,667.6611954146866,-175.4645080176093,1596.3320846547979
2023-01-28,749.6770724959422,-164.80679494298707,1646.8674317652417
2023-01-29,566.6084931814444,-417.1671028869648,1452.2112277031658
2023-01-31,677.2675116857625,-153.34551136839832,1579.6055042709313
2023-02-01,729.454897367058,-165.65993871293904,1618.0014267747988
2023-02-02,586.7860743651032,-290.5378745085361,1468.1727079030443
2023-02-03,668.8601743212702,-199.46222832994542,1587.7634185396262
2023-02-05,567.8074721058996,-328.2498475949121,1429.4795740742716
2023-02-06,568.1066432854849,-347.5558508986643,1435.4101634021129
2023-02-07,678.466490627546,-211.08865876377925,1566.8337848312246
2023-02-08,730.6538763182434,-140.81787881748002,1603.2636981955602
2023-02-09,587.9850533251785,-309.92029385214164,1476.4872742103178
2023-02-11,752.0750303716022,-159.95673036068968,1622.6927377377929
2023-02-12,569.0064518264859,-410.59899045274057,1467.2669813498705
2023-02-13,569.3056237655994,-269.85692925372956,1422.5989323942072
2023-02-14,679.6654718677784,-242.43669631598436,1543.4925876203085
2023-02-17,671.2581368016155,-133.19986181088663,1527.1616047290208
2023-02-18,753.274014651385,-175.5153299346406,1610.8193897073202
2023-02-19,570.205436106398,-334.0426682667646,1467.7088515883288
2023-02-20,570.5046080456327,-384.7028076093599,1432.3866449649893
2023-02-21,680.8644561477923,-222.50356464489832,1577.7025895559705
2023-02-22,733.0535676713787,-135.44589202950255,1632.7089662947415
2023-02-24,672.4622963012747,-224.76337150550054,1532.8982809351676
2023-02-26,571.4130457531267,-336.4909332845732,1441.1683197421135
2023-02-27,571.7139427660767,-280.19175045857344,1439.336297297055
2023-02-28,682.0755159411491,-193.5369990774481,1542.2719661534081
2023-03-03,673.673356095139,-209.50190308464397,1608.067803295551
2023-03-06,572.9250025595534,-345.68380714195376,1460.890323848878
2023-03-07,683.2865757380391,-222.86545698114685,1583.1461679832846
2023-03-08,735.4756872648104,-200.05083205531795,1606.7308623817396
2023-03-09,592.8085901086406,-317.15634595688255,1440.3503386607767
2023-03-10,674.8844159011057,-142.95177030763472,1550.522083266567
2023-03-11,756.9020188279161,-99.74559560228886,1669.9032851762584
2023-03-12,573.8351653588055,-337.2214781234756,1508.2163399955543
2023-03-13,574.1360623746166,-359.03376120173897,1474.1648817305445
2023-03-17,676.0954757161494,-168.39385178435103,1568.2288467752758
2023-03-18,758.1130793281974,-140.9399665578265,1642.2467856807762
2023-03-19,575.0462265444654,-304.0883255700148,1413.055565787359
2023-03-20,575.3471242461184,-301.1319365133037,1407.5091093675417
2023-03-21,685.7086981101039,-249.6813579923214,1583.5942360892982
2023-03-22,737.8978103224797,-157.49840801887606,1622.6732279419184
2023-03-23,595.2307138510882,-250.96802281919113,1441.980012984782
2023-03-25,759.3241439414563,-153.24271924116923,1646.4508934689882
2023-03-26,576.257291192603,-341.8334878162816,1475.4411366764598
2023-03-27,576.5581889288525,-323.3993742360069,1512.2031974320992
2023-03-28,686.9197628282242,-133.60970460249982,1589.404158546655
2023-03-29,739.1088750754143,-219.74319016913677,1585.80347753909
2023-03-30,596.4417786392731,-257.37721096825743,1477.2231059027924
2023-03-31,678.5176051522872,-235.48570980799659,1540.2046305819495
2023-04-02,577.4683560508064,-249.5922143783579,1471.9009122259883
2023-04-04,688.1308276995384,-221.16247305310998,1504.4201412245386
2023-04-05,740.3199399533474,-145.12315221615407,1603.204533792183
2023-04-08,761.7462736975392,-130.89023472965712,1654.2745546796336
2023-04-09,578.6794209558742,-362.597310830679,1431.8602289553373
2023-04-10,578.9803186986595,-370.7957461105407,1539.1717653864243
2023-04-11,689.3418926049204,-173.24896063551023,1582.9383861893634
2023-04-12,741.5310048584528,-120.29639646295254,1619.9516355262385
2023-04-13,598.8639084293484,-234.27187316489457,1512.994755005496
2023-04-16,579.8904858580252,-341.2068395627755,1475.9873870968077
2023-04-19,742.7420697577242,-93.02466910197435,1624.2411550646245
2023-04-20,600.0749733275957,-205.63311438692256,1544.5351009301378
2023-04-21,682.1507998465609,-172.7737845417414,1515.7099501786704
2023-04-22,764.1684034992156,-119.0308223902882,1670.6395074086247
2023-04-23,581.1015507569736,-324.03536853277836,1442.243378362069
2023-04-24,581.4024484985617,-301.9414633225898,1521.1959903311724
2023-04-25,691.7640232691233,-196.7783789413762,1570.5348896613943
2023-04-26,743.9531363881241,-198.37842437839154,1624.376424810109
2023-04-27,601.2860408234753,-325.11563674955704,1480.7284666386954
2023-04-28,683.3618682085003,-109.82320456618031,1588.8225115284263
2023-04-29,765.3794727267842,-96.18854663975927,1690.1178528933885
2023-04-30,582.3126208501523,-309.7898428727928,1513.599942315475
2023-05-01,582.6135194577586,-307.6717357811851,1543.2208892889155
2023-05-02,692.975094305589,-175.87486807070573,1636.9051442878194
2023-05-03,745.1642075016713,-126.28634851839837,1630.4295025839467
2023-05-04,602.4971120145648,-301.8356052329465,1479.7465968091738
2023-05-05,684.5729394765449,-228.9753174268953,1567.127177339287
2023-05-07,583.5236922727951,-258.47899351541065,1493.512797881677
2023-05-08,583.8245909577781,-283.8347567699164,1551.826826427774
2023-05-09,694.1861658055893,-187.02757799134443,1568.1209480568534
2023-05-10,746.3752790016222,-110.26880865495718,1604.346692093191
2023-05-11,603.7081834529163,-274.4961173010762,1444.8538782971639
2023-05-12,685.78401085354,-234.97692260210718,1572.5590414802195
2023-05-14,584.7347635261973,-394.3438253492315,1494.8357024750017
2023-05-16,695.3972369361123,-135.8368746099054,1641.8380211280999
2023-05-17,747.5863500701471,-141.36709258781121,1631.7169780336176
2023-05-18,604.9192545215143,-219.1448864424143,1569.2012954178947
2023-05-20,769.0126864563389,-117.32316004801616,1598.9594582681802
2023-05-21,585.945834535008,-258.13189243521026,1430.165204478099
2023-05-22,586.2467330984281,-266.4543727199722,1489.6946701213647
2023-05-23,696.6083078252017,-193.7616688578489,1587.5829132822446
2023-05-24,748.7974208992756,-88.55685397726295,1656.7318722031905
2023-05-25,606.1303252907283,-314.58092643067766,1473.8696002057793
2023-05-26,688.2061526311422,-220.8146103019336,1601.9267239759486
2023-05-27,770.223757105716,-141.5164478732747,1658.0736488656391
2023-05-28,587.1569052943777,-327.3100996076957,1422.263166593661
2023-05-31,750.0084919899984,-167.30919440072822,1656.3412035650397
2023-06-01,607.3413964911855,-301.5152553309756,1501.19021918578
2023-06-02,689.4172239420735,-198.18196238702214,1524.7010461584516
2023-06-03,771.4348285268296,-98.4970589873667,1691.3694970975273
2023-06-04,588.3679767154554,-295.0010679446995,1503.5445425213593
2023-06-05,588.668875389553,-297.28621343285425,1445.7100629248143
2023-06-07,751.2195634110037,-161.87650842051195,1619.3383307753038
2023-06-09,690.6282953538637,-262.9940487141211,1526.7170710793505
2023-06-10,772.6458999336943,-118.49963988093806,1598.1720148144898
2023-06-11,589.5790481183317,-332.0473831056159,1484.319093844109
2023-06-13,700.2415216191755,-181.5287353952126,1552.6496422006933
2023-06-14,752.4306347991474,-186.2611942184902,1687.562587681512
2023-06-17,773.856971321781,-86.43593066298075,1616.109759171184
2023-06-19,591.0910181756166,-309.03784251854506,1488.4223413043057
2023-06-20,701.4525930247503,-169.5291183949134,1661.8563730416222
2023-06-21,753.6417062218271,-129.51604393579473,1645.3233791414814
2023-06-22,610.9746107359307,-302.2342711829294,1550.5107666013746
2023-06-23,693.0504381989335,-199.17760856206314,1600.8998848231497
2023-06-29,612.1856822446351,-311.537538413674,1521.261479838108
2023-06-30,694.2615097075019,-213.05288369791813,1576.098251345156
2023-07-01,776.2791143047516,-153.40296802101696,1702.5256663411096
2023-07-04,703.8747364318236,-172.94181083068614,1588.345365630255
2023-07-05,756.0638497592073,-134.36680610490816,1663.392958027187
2023-07-06,613.3967544034525,-205.3815569305264,1497.9678829740767
2023-07-09,594.4233350552681,-303.17925691828873,1505.2205859656428
2023-07-14,696.6836544154968,-212.71871842918895,1601.3080698808578
2023-07-15,778.7012591425131,-86.2440139898022,1588.3402546866917
2023-07-16,595.6344074739714,-290.06485982236484,1435.0542853724287
2023-07-17,595.9353062906428,-320.54792416777406,1454.209414664319
2023-07-22,779.9123320102415,-79.45794628236948,1729.9736292280456
2023-07-24,597.1463793373695,-261.7993648046519,1457.6029920779029
2023-07-27,617.029972557459,-360.27516355479383,1535.2780758574734
2023-08-04,700.3168732872232,-198.2070102795806,1544.887306678434
2023-08-05,782.3344781041733,-85.34780605599396,1607.8031891501594
2023-08-08,709.9301005009443,-220.50115374236506,1477.9768786205598
2023-08-09,762.1192139180433,-140.22919730115672,1661.1888400953417
2023-08-10,619.4521185701144,-260.15869873211483,1522.3040282764446
2023-08-11,701.5279461713994,-162.4983897850864,1604.955134450819
2023-08-12,783.5455509066495,-100.76209107865814,1699.6830233243486
2023-08-13,600.4786992466503,-318.59122954871305,1451.9359208610194
2023-08-15,711.1411730587369,-101.48782077195806,1543.6783514642975
2023-08-18,702.7390186484186,-207.3730085657625,1565.4011223694704
2023-08-19,784.7566233834146,-126.23032768757014,1685.864432167338
2023-08-21,601.9906705482439,-283.90207514812306,1479.5310172361758
2023-08-23,764.5413587447106,-133.60814099962553,1666.3352123436919
2023-08-27,602.9008438206362,-332.57263575236476,1401.7610536618868
2023-08-28,603.2017425817985,-210.1389386462919,1446.138216416336
2023-08-29,713.5633175058636,-184.28681669847154,1616.7510162096755
2023-08-31,623.085335367035,-272.86813509578406,1516.7567416707425
2023-09-01,705.161162905524,-145.06415286055048,1587.2157729553394
2023-09-05,714.774389538975,-149.24399963821935,1621.0139479124043
2023-09-06,766.9635026453728,-73.78438211068425,1672.9537094378152
2023-09-07,624.2964070684743,-259.4272711279835,1459.746228008782
2023-09-14,625.5074779389414,-252.17739862283503,1498.5702826398403
2023-09-15,707.5833053115982,-117.92804657291867,1635.9655396385845
2023-09-16,789.6009098171527,-141.99999310371044,1696.3099309724346
2023-09-17,606.5340579273153,-241.14291966577872,1468.3640182398672
2023-09-23,790.8119806876149,-192.88825620813265,1734.6865130990504
2023-09-25,608.0460275391155,-298.1672880972593,1471.4547575829395
2023-09-29,710.005447489939,-260.40296483403154,1576.9203976189517
2023-09-30,792.02305206908,-25.1518836504689,1639.244113139582
2023-10-01,608.956200252014,-251.46367795742646,1509.5009240624747
2023-10-02,609.2570989205003,-264.4761399918855,1472.3435088255192
2023-10-03,719.6186737513824,-219.75768940758715,1615.0898207803643
2023-10-04,771.8077869306455,-158.45886152286218,1623.8780913217956
2023-10-05,629.1406914263025,-310.9280008744254,1528.3701711026251
2023-10-07,793.2341233442394,-135.8270366053099,1709.3259522800074
2023-10-08,610.1672714748921,-323.9331891283161,1473.3986860857474
2023-10-09,610.4681700895283,-257.1716342093321,1573.154499659508
2023-10-11,773.0188579937872,-142.20915129586675,1662.061675712596
2023-10-12,630.3517624365298,-191.40515067339933,1537.3205036289144
2023-10-14,794.4451943544613,-133.33414594113273,1640.310851740415
2023-10-15,611.3783424852436,-283.4187306021273,1519.559496915818
2023-10-16,611.6792412707263,-260.05937147108773,1502.1369175585762
2023-10-17,722.0408162198169,-181.8451043133934,1563.826986853337
2023-10-19,631.5628341301706,-227.024990718914,1551.431529279467
2023-10-20,713.6386616926501,-146.51392628187196,1567.144824930579
2023-10-22,612.5894146904528,-248.74653520695279,1532.6394202366405
2023-10-24,723.2518884248399,-141.31872455340425,1620.702438491125
2023-10-26,632.7739063354752,-260.715021022893,1493.5990128880624
2023-10-27,714.8497338981806,-188.2563286773576,1526.2709187284709
2023-10-29,613.8004868958817,-306.69970774893494,1499.5490361981488
2023-10-31,724.4629606303704,-184.8229709748955,1628.3478330433427
2023-11-01,776.6520739270801,-82.65312958646628,1699.6752732309806
2023-11-02,633.9849785411274,-219.5196624386906,1570.8585167207523
2023-11-05,615.0115591017776,-270.52090148112495,1553.407570863326
2023-11-06,615.3124578873438,-254.50739933918098,1487.1174121004071
2023-11-07,725.6740328359522,-162.98244396162107,1622.893155638875
2023-11-09,635.1960507465966,-268.5708744991565,1546.81681050114
2023-11-13,616.5235300929263,-226.30466228692958,1438.2988474870149
2023-11-14,726.8851050415341,-98.95979730583873,1577.3313557176562
2023-11-17,718.4829505149603,-83.3921974321223,1610.950888027568
2023-11-19,617.4337035126352,-260.9099549209725,1513.6338119919242
2023-11-21,728.096177247116,-165.08642254643286,1588.0514700793333
2023-11-22,780.285290543736,-148.93204185128062,1705.7723358677415
2023-11-24,719.6940227203025,-140.43428536435587,1573.9669510294766
2023-11-25,801.7116274165883,-72.78659015627751,1718.6395152418288
2023-11-26,618.6447757178444,-245.58659511039104,1544.0365146426568
2023-11-27,618.9456745035868,-234.97098671757124,1478.672924683551
2023-11-29,781.4963627490924,-81.1037874335929,1653.4202932964313
2023-11-30,638.8292673626843,-244.75775595183407,1517.2357767746596
2023-12-01,720.905094925445,-149.64475158997448,1661.4736945286731
2023-12-02,802.9226996224475,-181.95118337418725,1609.9568445752282
2023-12-04,620.1567467091044,-318.1074000418872,1484.1287327816271
2023-12-06,782.7074349549107,-122.17028152032469,1678.4078550613533
2023-12-07,640.0403395683363,-242.73202422385577,1558.803890714147
2023-12-08,722.1161671309754,-160.2471314499641,1548.0967399488072
2023-12-09,804.1337718277468,-84.75955814700637,1652.3089379693993
2023-12-10,621.0669201285923,-296.37327784034,1518.8886385605524
