ds,yhat,yhat_lower,yhat_upper
2023-01-02,608.1051811174095,-501.9662564667555,1720.484685978558
2023-01-05,549.727487143015,-512.4358639034897,1628.5730630416765
2023-01-06,521.2589779258027,-573.851829489799,1552.6413902529102
2023-01-07,964.5555234915431,-153.81573267489958,1964.7577134741286
2023-01-08,651.5733637383329,-457.0588939719399,1700.7085762723304
2023-01-10,777.8230447080706,-317.90724741299067,1788.054621217836
2023-01-13,522.7201279260576,-492.7919371530965,1710.0931154169625
2023-01-15,653.0345137382652,-426.2683093117096,1757.2037539020619
2023-01-16,611.027481125206,-455.49350077379813,1705.703257490299
2023-01-21,967.4778235370419,-168.27808407092942,2047.828510656759
2023-01-22,654.4956637913555,-439.0954025317451,1723.0267478665653
2023-01-23,612.4886311775479,-455.43770413067506,1784.7804146639312
2023-01-25,638.7176719529266,-399.4081023894858,1763.9117621807902
2023-01-28,968.9389735902685,-128.1191858528279,2060.038592296812
2023-01-30,613.9497812313043,-372.4443931135373,1686.1460146983645
2023-01-31,782.2064947161099,-237.77591602367175,1863.3434660213577
2023-02-01,640.1788217810981,-489.1976344374529,1750.0591871985407
2023-02-02,555.5720869412055,-537.7448791598526,1643.3424193472656
2023-02-05,657.4179632198934,-465.71961964964555,1785.4511721129481
2023-02-06,615.4109304944284,-563.8180674782536,1666.2847004037899
2023-02-07,783.6676439783179,-296.35153489905935,1870.217427505733
2023-02-08,641.6399710445878,-433.7024663957881,1739.367689897566
2023-02-10,528.5647268355241,-505.3560708194766,1692.377963017325
2023-02-11,971.8612722729258,-56.096592823864974,2095.5904850033703
2023-02-14,785.1287931043661,-366.2704947897239,1863.495889765758
2023-02-16,558.4943852822057,-592.2104282553337,1589.0249453093481
2023-02-17,530.0258759369873,-572.0873133503793,1572.3629546697327
2023-02-20,618.3332287429314,-512.9514754445279,1666.9091856272123
2023-02-22,644.5622692463859,-494.6237403632975,1792.6645001618579
2023-02-25,974.7835702051599,-83.34449882284014,2041.462254380929
2023-02-27,619.7943773945269,-592.3665854383353,1703.9111640152619
2023-02-28,788.0510907657767,-372.7644373958686,1911.9641799063797
2023-03-01,646.0234177175523,-473.33139789352333,1818.532320746837
2023-03-03,532.948173328146,-643.299137529072,1610.8030899243288
2023-03-06,621.255525865041,-514.8205279215962,1625.27313597886
2023-03-07,789.512239236244,-300.6548758026483,1852.3267128553396
2023-03-15,648.9457141589543,-460.73223824080253,1743.4393040062048
2023-03-19,666.1848548959606,-388.06587004544855,1754.4860194852774
2023-03-20,624.1778219937831,-479.2738300698884,1765.0902254227701
2023-03-23,565.8001271771998,-468.7348126314684,1696.4795654387399
2023-03-24,537.3316176795815,-501.0109866204553,1612.6274341187766
2023-03-25,980.6281629645609,-124.79004947417667,2102.969677863911
